name,institution,course_url,course_id,reviews,reviewers,date_reviews,rating,count of words,University,month,year,mth-year,year-month,reviews split,language
Machine Learning,Stanford University,https://www.coursera.org/learn/machine-learning,machine-learning,"В
 требованиях к прохождению курса необходимо указать ""владение университетским курсом высшей математики"" и ""математический английский"" - без него тут нечего 
делать, поскольку текстовка на русском языке не совпадает с тем, что говорит лектор ни по смыслу, ни, начиная со второй недели, по времени.

Никаких пояснений по алгоритмам или логике происходящего в курсе нет: вот 
формула, вот задание. Иди, 
решай. Курс аналогичен по составу самоучителям по рисованию: ""Рисуем круг, рисуем круг побольше, дорисовываем сову.""",By Ястрембский А Н,2020-10-01,1.0,72,University,10,2020,Oct-2020,2020-10,,ru
Machine Learning,Stanford University,https://www.coursera.org/learn/machine-learning,machine-learning,"Хорошее введение в машинное обучение. В начале хорошо разжевывались азы, теория легко ложилась на практику. Но потом стало сложнее, преподаватель стал меньше внимания уделять объяснению сути, лишь поверхностно пробегая по применению. Могу предположить, что так и было задумано, так как курс вводный, а все области копнуть глубоко просто невозможно так быстро. В любом случае, рекомендую всем.",By Расов А М,2018-05-26,4.0,56,University,5,2018,May-2018,2018-05,,ru
Machine Learning,Stanford University,https://www.coursera.org/learn/machine-learning,machine-learning,"Очень полезный и интересный курс, особенно, если ничего не знаешь по теме. Лишней информации нет, лектор читает отлично: не слишком быстро и не слишком медленно. Много заданий и они очень приятные, никаких багов и сложностей не возникало :)",By Яна П,2020-05-16,5.0,38,University,5,2020,May-2020,2020-05,,ru
Machine Learning,Stanford University,https://www.coursera.org/learn/machine-learning,machine-learning,Очень понятный и интересный курс. Преподаватель разжевывает все сложные понятия. Огромным плюсом хочется выделить тренажер по выполнению домашних заданий: задания сформулированы очень четко и недвусмысленно!,By Ruslan N,2019-11-08,5.0,25,University,11,2019,Nov-2019,2019-11,,ru
Machine Learning,Stanford University,https://www.coursera.org/learn/machine-learning,machine-learning,"Предельно доступное изложение в необходимом и вполне достаточном для многих практических задач объёме. Идеально для инженеров, решающих практические задачи в повседневной деятельности.",By Головнин П А,2018-02-01,5.0,22,University,2,2018,Feb-2018,2018-02,,ru
Technical Support Fundamentals,Google,https://www.coursera.org/learn/technical-support-fundamentals,technical-support-fundamentals,"Прекрасный вступительный курс, интересна работа с удаленными компьютерами в лабораторных.",By Alexandr E,2018-12-14,5.0,10,Business est,12,2018,Dec-2018,2018-12,,ru
Technical Support Fundamentals,Google,https://www.coursera.org/learn/technical-support-fundamentals,technical-support-fundamentals,Было реально интересно и занимательно,By Tyumentsev D A,2019-07-23,5.0,5,Business est,7,2019,Jul-2019,2019-07,,ru
Technical Support Fundamentals,Google,https://www.coursera.org/learn/technical-support-fundamentals,technical-support-fundamentals,Мне очень понравилось !,By Дидинчук А В,2020-10-03,5.0,4,Business est,10,2020,Oct-2020,2020-10,,ru
Introduction to Psychology,Yale University,https://www.coursera.org/learn/introduction-psychology,introduction-psychology,"Хороший курс, помог мне разобраться с моими личными проблемами. Я ранее не задумывалась о многих процессах в нашем мозге, также не думала о роли детских травм в дальнейшей жизни. И мне кажется, что некоторые теории Фрейда имеют место быть например: стадии развития по фрейду: возможно это объясняет многое. Перенесенные психологические травмы в детстве, нарушение одной из стадий в развитии ребенка, может объяснить наличия отклонений у педофилов, насильников и убийц и их поступки. Сугубо лично мое мнение. Спасибо большое за курс! ",By Кужас Д Ж,2020-06-29,5.0,81,University,6,2020,Jun-2020,2020-06,,ru
Programming for Everybody (Getting Started with Python),University of Michigan,https://www.coursera.org/learn/python,python,"Было не так сложно, можно добавить больше материала",By Amangeldy S,2020-05-11,4.0,8,University,5,2020,May-2020,2020-05,,ru
Programming for Everybody (Getting Started with Python),University of Michigan,https://www.coursera.org/learn/python,python,"Хороший курс, чтобы начать знакомство с ""питоном"". Харизматичный преподаватель подают информацию в достаточно доступной форме, не обременяя лишней информацией. В д/з имеются, как онлайн тесты, так и решение задач по программированию. Задач могло бы быть и побольше, но для САМОГО начал этого вполне достаточно. К относительному недостатку можно отнести язык курса: требуется знание английского на среднем уровне, т.к. русские субтитры имеются не во всех видеороликах.",By Григорьев С Н,2020-08-27,5.0,65,University,8,2020,Aug-2020,2020-08,,ru
Programming for Everybody (Getting Started with Python),University of Michigan,https://www.coursera.org/learn/python,python,"Курс очень понравился. Лекции прозрачные и понятные.Отличный вариант для того, чтобы сделать первые шаги в программировании.Есть закрепляющие задания по всем темам, хотя хотелось бы побольше.",By Лактионов И Ю,2020-01-18,5.0,25,University,1,2020,Jan-2020,2020-01,,ru
Programming for Everybody (Getting Started with Python),University of Michigan,https://www.coursera.org/learn/python,python,"Это очень крутой и интересный курс! Объясняют все понятно и доходчиво, если есть вопросы - мне отвечали в течении 2-х минут, т.е. сразу же. ооочень увлекательно и интересно.",By Sergei D,2020-04-20,5.0,28,University,4,2020,Apr-2020,2020-04,,ru
Programming for Everybody (Getting Started with Python),University of Michigan,https://www.coursera.org/learn/python,python,"Спасибо большое за курс! Очень понравился лектор, замечательно все объясняет и еще и с юмором! Все предельно понятно. Боялась, что не пойму курс на нглийском. ",By Надеждина Д,2016-09-25,5.0,26,University,9,2016,Sep-2016,2016-09,,ru
Programming for Everybody (Getting Started with Python),University of Michigan,https://www.coursera.org/learn/python,python,"Полезный курс для начинающего специалиста. Максимально простое объяснение про установку программы, настройку и первые шаги программирования. Спасибо! ",By Логунцов А Е,2020-07-05,5.0,18,University,7,2020,Jul-2020,2020-07,,ru
Programming for Everybody (Getting Started with Python),University of Michigan,https://www.coursera.org/learn/python,python,"Хороший курс! Отличная подача материала. Показался слишком простым, но, для тех, кто вообще не знаком с программированием, то что нужно.",By Громов М М,2019-08-02,5.0,20,University,8,2019,Aug-2019,2019-08,,ru
Programming for Everybody (Getting Started with Python),University of Michigan,https://www.coursera.org/learn/python,python,"Отличный курс! и великолепный учитель, думаю именно благодаря ему было столь интересно осваивать и решать задачи в данном курсе.",By Одинцов В И,2017-02-08,5.0,19,University,2,2017,Feb-2017,2017-02,,ru
Programming for Everybody (Getting Started with Python),University of Michigan,https://www.coursera.org/learn/python,python,"Интересно и доступно. Хоть и не все видео с русскими субтитрами ,но в моем случае я все равно смотрел с английскими.",By Khamitov S,2018-08-08,5.0,21,University,8,2018,Aug-2018,2018-08,,ru
Programming for Everybody (Getting Started with Python),University of Michigan,https://www.coursera.org/learn/python,python,"Мне понравился курс, все очень легко и доходчиво объяснялось. Структурированный материал и отличные лекции.",By Юрин М В,2017-08-24,5.0,14,University,8,2017,Aug-2017,2017-08,,ru
Programming for Everybody (Getting Started with Python),University of Michigan,https://www.coursera.org/learn/python,python,"Просто замечательный курс, особенно для людей, шарящих в английском и не шарящих в программировании",By Винокуров Н А,2017-07-14,5.0,14,University,7,2017,Jul-2017,2017-07,,ru
Programming for Everybody (Getting Started with Python),University of Michigan,https://www.coursera.org/learn/python,python,"Хороший курс. Очень нравится подача материала, немного неформально, но этим как раз и берет!",By Евгений,2015-12-29,5.0,14,University,12,2015,Dec-2015,2015-12,,ru
