name,institution,course_url,course_id,reviews,reviewers,date_reviews,rating,count of words,University,month,year,mth-year,year-month,reviews split,language
Machine Learning,Stanford University,https://www.coursera.org/learn/machine-learning,machine-learning,"AT  Course requirements must be indicated by the ""possession of the university course of higher mathematics"" and ""Mathematical English"" - there is nothing to do with it  To do since the text in Russian does not coincide with what the lecturer says in no sense, nor, starting from the second week, in time.  No explanations for algorithms or the logic of what is happening there is no: here  Formula, here is the task. Go  decide. The course is similar in composition of tutorials on drawing: ""Draw a circle, draw a bigger circle, drawing the owl."" ",By Ястрембский А Н,2020-10-01,1.0,72,University,10,2020,Oct-2020,2020-10,,ru
Machine Learning,Stanford University,https://www.coursera.org/learn/machine-learning,machine-learning,"Good introduction to machine learning. At the beginning, the basics were well chewmed, the theory easily went to practice. But then it became more difficult, the teacher began to pay less attention to the explanation of the essence, only superficially running on use. I can assume that it was so conceived, as the course is introduced, and all the areas there is deeply impossible so quickly. In any case, I recommend to everyone. ",By Расов А М,2018-05-26,4.0,56,University,5,2018,May-2018,2018-05,,ru
Machine Learning,Stanford University,https://www.coursera.org/learn/machine-learning,machine-learning,"Very useful and interesting course, especially if you do not know anything on the topic. There is no extra information, the lecturer reads excellent: not too fast and not too slow. Many tasks and they are very pleasant, no bugs and difficulties arose :) ",By Яна П,2020-05-16,5.0,38,University,5,2020,May-2020,2020-05,,ru
Machine Learning,Stanford University,https://www.coursera.org/learn/machine-learning,machine-learning,Very clear and interesting course. The teacher chews all the complex concepts. A huge advantage I want to highlight the simulator to perform homework: tasks formulated very clearly and unequivocally! ,By Ruslan N,2019-11-08,5.0,25,University,11,2019,Nov-2019,2019-11,,ru
Machine Learning,Stanford University,https://www.coursera.org/learn/machine-learning,machine-learning,The maximum available presentation in the amount of practical tasks is necessary and quite sufficient for many practical tasks. Ideal for engineers who decide practical tasks in daily activities. ,By Головнин П А,2018-02-01,5.0,22,University,2,2018,Feb-2018,2018-02,,ru
Technical Support Fundamentals,Google,https://www.coursera.org/learn/technical-support-fundamentals,technical-support-fundamentals,"Excellent introductory course, it is interesting to work with remote computers in laboratory. ",By Alexandr E,2018-12-14,5.0,10,Business est,12,2018,Dec-2018,2018-12,,ru
Technical Support Fundamentals,Google,https://www.coursera.org/learn/technical-support-fundamentals,technical-support-fundamentals,It was really interesting and entertaining ,By Tyumentsev D A,2019-07-23,5.0,5,Business est,7,2019,Jul-2019,2019-07,,ru
Technical Support Fundamentals,Google,https://www.coursera.org/learn/technical-support-fundamentals,technical-support-fundamentals,I really liked it ! ,By Дидинчук А В,2020-10-03,5.0,4,Business est,10,2020,Oct-2020,2020-10,,ru
Introduction to Psychology,Yale University,https://www.coursera.org/learn/introduction-psychology,introduction-psychology,"Good course, helped me deal with my personal problems. I had not previously thought about many processes in our brain, I also did not think about the role of child injuries in the future life. And it seems to me that some Freud's theories have a place to be for example: Stages of development in Freud: Perhaps this explains a lot. Transferred psychological injuries in childhood, violation of one of the stages in the development of the child, can explain the presence of deviations from pedophiles, rapists and murderers and their actions. Purely personally my opinion. Thank you very much for the course! ",By Кужас Д Ж,2020-06-29,5.0,81,University,6,2020,Jun-2020,2020-06,,ru
Programming for Everybody (Getting Started with Python),University of Michigan,https://www.coursera.org/learn/python,python,"It was not so difficult, you can add more material ",By Amangeldy S,2020-05-11,4.0,8,University,5,2020,May-2020,2020-05,,ru
Programming for Everybody (Getting Started with Python),University of Michigan,https://www.coursera.org/learn/python,python,"Good course to start an acquaintance with Python. Charismatic teacher submit information in a sufficiently available form, without burdened with unnecessary information. In d / s, there are both online tests and solving problems for programming. The tasks could be more and more, but for the very beginning it was quite enough. Relative drawback can be attributed to the course language: knowledge of English is required at the middle level, because Russian subtitles are not available in all videos. ",By Григорьев С Н,2020-08-27,5.0,65,University,8,2020,Aug-2020,2020-08,,ru
Programming for Everybody (Getting Started with Python),University of Michigan,https://www.coursera.org/learn/python,python,"The course really liked. Lectures are transparent and understandable. This option in order to make the first steps in programming. There are fixing tasks on all topics, although I would like more. ",By Лактионов И Ю,2020-01-18,5.0,25,University,1,2020,Jan-2020,2020-01,,ru
Programming for Everybody (Getting Started with Python),University of Michigan,https://www.coursera.org/learn/python,python,"This is a very cool and interesting course! Explain everything is clear and intelligible, if there are questions - I was responsible for 2 minutes, i.e. At once. Sooo fascinating and interesting. ",By Sergei D,2020-04-20,5.0,28,University,4,2020,Apr-2020,2020-04,,ru
Programming for Everybody (Getting Started with Python),University of Michigan,https://www.coursera.org/learn/python,python,"Thank you very much for the course! I really liked the lecturer, everything explains everything and also with humor! Everything is extremely clear. I was afraid that I would not understand the course on NGLI. ",By Надеждина Д,2016-09-25,5.0,26,University,9,2016,Sep-2016,2016-09,,ru
Programming for Everybody (Getting Started with Python),University of Michigan,https://www.coursera.org/learn/python,python,"Useful course for a novice specialist. The most simple explanation about the installation of the program, setting up and first programming steps. Thanks! ",By Логунцов А Е,2020-07-05,5.0,18,University,7,2020,Jul-2020,2020-07,,ru
Programming for Everybody (Getting Started with Python),University of Michigan,https://www.coursera.org/learn/python,python,"Good course! Excellent material feed. It seemed too simple, but for those who are not familiar with programming, what you need. ",By Громов М М,2019-08-02,5.0,20,University,8,2019,Aug-2019,2019-08,,ru
Programming for Everybody (Getting Started with Python),University of Michigan,https://www.coursera.org/learn/python,python,"Excellent course! And a magnificent teacher, I think precisely thanks to him it was so interesting to master and solve the tasks in this course. ",By Одинцов В И,2017-02-08,5.0,19,University,2,2017,Feb-2017,2017-02,,ru
Programming for Everybody (Getting Started with Python),University of Michigan,https://www.coursera.org/learn/python,python,"Interesting and available. Although not all videos with Russian subtitles, but in my case I still watched with English. ",By Khamitov S,2018-08-08,5.0,21,University,8,2018,Aug-2018,2018-08,,ru
Programming for Everybody (Getting Started with Python),University of Michigan,https://www.coursera.org/learn/python,python,"I liked the course, everything was very easy and intelligible. Structured material and excellent lectures. ",By Юрин М В,2017-08-24,5.0,14,University,8,2017,Aug-2017,2017-08,,ru
Programming for Everybody (Getting Started with Python),University of Michigan,https://www.coursera.org/learn/python,python,"Just a wonderful course, especially for people, sailing in English and non-changing in programming ",By Винокуров Н А,2017-07-14,5.0,14,University,7,2017,Jul-2017,2017-07,,ru
Programming for Everybody (Getting Started with Python),University of Michigan,https://www.coursera.org/learn/python,python,"Good course. I like the filing of the material, a little informally, but it just takes! ",By Евгений,2015-12-29,5.0,14,University,12,2015,Dec-2015,2015-12,,ru
Psychological First Aid,Johns Hopkins University,https://www.coursera.org/learn/psychological-first-aid,psychological-first-aid,"It is very important to remember things that are apparent obvious, because they forget about them or do not take into account them most often. Excellent and high-quality material feed! The course itself is conducted in English, but despite the fact that my language is Russian, I did not have any problems with the understanding of the material. Everything is duplicated (there is both subtitles in the video and the full text of the lecture under it. What the teacher says is automatically displayed on the text.) There is an opportunity to create and maintain notes. Improving the ability to practice English on rumor. Material is interesting and useful. There are examples and video vignettes, their analysis and show ""as it should"". Much attention is paid to the formation of the understanding of the process (why, why it is important and so on). Already managed to apply some of these knowledge in the work - it really works! Practical benefit from the material has already felt the tests and tests. Despite its relative simplicity, they can make thinking and think about the answer. Not everything is so obvious. And this is very good. Thank the organizers from the University of J. Hopkins and curses for such a useful and important course. ",By Flyagina Y,2020-02-09,5.0,162,University,2,2020,Feb-2020,2020-02,,ru
Psychological First Aid,Johns Hopkins University,https://www.coursera.org/learn/psychological-first-aid,psychological-first-aid,"Very useful course! Many practices, interesting tasks on tests. I advise everyone, for knowledge from this course can come in handy in life to each of us! ",By Kate S,2020-09-05,5.0,23,University,9,2020,Sep-2020,2020-09,,ru
Psychological First Aid,Johns Hopkins University,https://www.coursera.org/learn/psychological-first-aid,psychological-first-aid,"This course is amazing. Comfortable lectures and visual demonstration. Smaller tests (for attentive students). Thank you, Professor! ",By Катерина С,2020-07-14,5.0,16,University,7,2020,Jul-2020,2020-07,,ru
Psychological First Aid,Johns Hopkins University,https://www.coursera.org/learn/psychological-first-aid,psychological-first-aid,"Useful, informative, very good section, about reactions, cognitive, physical emotional. I recommend. ",By Petrishcheva D A,2019-04-15,5.0,12,University,4,2019,Apr-2019,2019-04,,ru
Psychological First Aid,Johns Hopkins University,https://www.coursera.org/learn/psychological-first-aid,psychological-first-aid,This is a very exciting course. Thank you very much for new knowledge and experience. ,By Valeria B,2020-05-08,5.0,12,University,5,2020,May-2020,2020-05,,ru
Psychological First Aid,Johns Hopkins University,https://www.coursera.org/learn/psychological-first-aid,psychological-first-aid,Mandatory to pass each !!!! ,By Vladislav P,2019-03-21,5.0,4,University,3,2019,Mar-2019,2019-03,,ru
Psychological First Aid,Johns Hopkins University,https://www.coursera.org/learn/psychological-first-aid,psychological-first-aid,Very sensible and in the case ,By Александр Ш,2018-11-21,5.0,5,University,11,2018,Nov-2018,2018-11,,ru
Neural Networks and Deep Learning,DeepLearning.AI,https://www.coursera.org/learn/neural-networks-deep-learning,neural-networks-deep-learning,"Everything is explained in very detail. I, as not the English speaker, everything is clear. The tasks are built from simple to complex. The material is very well absorbed. I will learn further! ",By Sergey D,2017-08-26,5.0,25,Business est,8,2017,Aug-2017,2017-08,,ru
Neural Networks and Deep Learning,DeepLearning.AI,https://www.coursera.org/learn/neural-networks-deep-learning,neural-networks-deep-learning,Very high-quality introductory course. Even a person without mathematical training will be able to pass it and understand the foundations of building neural networks. Thanks to the authors for the course! ,By Малышев Я,2020-06-07,5.0,22,Business est,6,2020,Jun-2020,2020-06,,ru
Neural Networks and Deep Learning,DeepLearning.AI,https://www.coursera.org/learn/neural-networks-deep-learning,neural-networks-deep-learning,"A good course, everything is explained. Practical tasks are also good, help assimilate the theory. ",By Павел М,2018-08-18,5.0,12,Business est,8,2018,Aug-2018,2018-08,,ru
Neural Networks and Deep Learning,DeepLearning.AI,https://www.coursera.org/learn/neural-networks-deep-learning,neural-networks-deep-learning,"I recommend it to everyone who wants or engaged in neural networks, everything is laid out on the shelves! ",By Заспа А Ю,2020-08-19,5.0,12,Business est,8,2020,Aug-2020,2020-08,,ru
Neural Networks and Deep Learning,DeepLearning.AI,https://www.coursera.org/learn/neural-networks-deep-learning,neural-networks-deep-learning,Excellent course! Gives a good base to understand the foundations of deep learning! ,By Стефаниди А Ф,2018-10-16,5.0,10,Business est,10,2018,Oct-2018,2018-10,,ru
Neural Networks and Deep Learning,DeepLearning.AI,https://www.coursera.org/learn/neural-networks-deep-learning,neural-networks-deep-learning,A wonderful and very nice course to get acquainted with neural networks. ,By Кроо Д С,2020-07-27,5.0,10,Business est,7,2020,Jul-2020,2020-07,,ru
What is Data Science?,IBM,https://www.coursera.org/learn/what-is-datascience,what-is-datascience,This is not a course and the introductory lecture ... weak ,By Юрий М,2020-06-06,3.0,7,Business est,6,2020,Jun-2020,2020-06,,ru
What is Data Science?,IBM,https://www.coursera.org/learn/what-is-datascience,what-is-datascience,"A very useful introductory course allows you to clearly determine all the pros and cons of this profession. And also helps to answer the most important question ""Do you feel this profession?"". ",By Олег Я,2019-10-08,5.0,26,Business est,10,2019,Oct-2019,2019-10,,ru
What is Data Science?,IBM,https://www.coursera.org/learn/what-is-datascience,what-is-datascience,I would like more Russian language. ,By Пугачёв В С,2020-02-21,5.0,5,Business est,2,2020,Feb-2020,2020-02,,ru
Successful Negotiation: Essential Strategies and Skills,University of Michigan,https://www.coursera.org/learn/negotiation-skills,negotiation-skills,"Thank you very much to the organizers of this course! I really liked him and, as I think, will be very useful in my personal and business life. I want to note that Russian-speaking listeners of this course may face a number of difficulties: in a pair of video lectures there are no Russian subtitles, all tasks, additional materials, etc. in English. Such difficulties may arise when it comes to lectures about the legal aspects of negotiations, as they are mainly given for residents of the United States. However, these difficulties will not be an obstacle for people who firmly decided to pass this course, since all tests can be used an unlimited number of times until the material is assimilated at the proper level; And when performing a task to week 6 (negotiations), it is not necessary to submit a video of its fulfillment or something in this way, so if you are uncomfortable to perform it in English, then you can do it in ""home"" conditions with your friend, relative Or another person in his native language for you. In connection with the foregoing, I can safely recommend this course to the widest range of listeners. ",By Максимов Д А,2017-01-11,5.0,164,University,1,2017,Jan-2017,2017-01,,ru
Successful Negotiation: Essential Strategies and Skills,University of Michigan,https://www.coursera.org/learn/negotiation-skills,negotiation-skills,"The course is very practical, many knowledge can be applied in real life, at work, all kinds of transactions. The teacher is a professional with a capital letter, a lot knows, but it is all available and easily explained. Lectures ""Living"", no desire to fall asleep, good video cutting. Mandatory to study! ",By Юлия,2018-10-24,5.0,41,University,10,2018,Oct-2018,2018-10,,ru
Successful Negotiation: Essential Strategies and Skills,University of Michigan,https://www.coursera.org/learn/negotiation-skills,negotiation-skills,"Excellent course! These knowledge will help my work in the design and art directorial work, as negotiations are 70% of my work! ",By Golyaka E A,2017-09-25,5.0,21,University,9,2017,Sep-2017,2017-09,,ru
Successful Negotiation: Essential Strategies and Skills,University of Michigan,https://www.coursera.org/learn/negotiation-skills,negotiation-skills,An excellent course to refresh information. Required speaker. ,By Terekhin A,2016-11-02,5.0,8,University,11,2016,Nov-2016,2016-11,,ru
Successful Negotiation: Essential Strategies and Skills,University of Michigan,https://www.coursera.org/learn/negotiation-skills,negotiation-skills,Very cool! Thanks to the organizers of this course! ,By Vladislav B,2017-02-08,5.0,6,University,2,2017,Feb-2017,2017-02,,ru
Successful Negotiation: Essential Strategies and Skills,University of Michigan,https://www.coursera.org/learn/negotiation-skills,negotiation-skills,Without the book of all the subtleties of the course not to understand ,By Nikc,2017-10-23,5.0,8,University,10,2017,Oct-2017,2017-10,,ru
Successful Negotiation: Essential Strategies and Skills,University of Michigan,https://www.coursera.org/learn/negotiation-skills,negotiation-skills,It was very cool and useful!) ,By Воронина Е А,2018-01-07,5.0,5,University,1,2018,Jan-2018,2018-01,,ru
Writing in the Sciences,Stanford University,https://www.coursera.org/learn/sciwrite,sciwrite,"Hello, the course for me was very helpful, lectures, tasks for self-fulfillment, interview with well-known scientists was all at a high level and is available for understanding. Many thanks to the teacher for a high-quality and professional course. I will recommend it to everyone. And I will try to use well enough thanks to the knowledge rate. ",By Talgat ,2019-10-12,5.0,45,University,10,2019,Oct-2019,2019-10,,ru
Writing in the Sciences,Stanford University,https://www.coursera.org/learn/sciwrite,sciwrite,This is the first course that I completed with great interest. I finally understood my mistakes to complicate the writing of the scientific text. I recommend. ,By Pichugin M K,2020-05-10,5.0,20,University,5,2020,May-2020,2020-05,,ru
Stanford Introduction to Food and Health,Stanford University,https://www.coursera.org/learn/food-and-health,food-and-health,"The course was very low in terms of the knowledge provided. In the country where I live, everyone has a kitchen and no one needs to be learning to prepare an elementary meal. That harmful there are trans-fats and so long ago everything is clear. I did not remove anything useful for myself. ",By Dyakova N,2018-06-24,1.0,41,University,6,2018,Jun-2018,2018-06,,ru
Stanford Introduction to Food and Health,Stanford University,https://www.coursera.org/learn/food-and-health,food-and-health,A certain guide for the future freshman who is going to leave the parent house and wants to properly organize its food. ,By Nadezhda,2018-03-29,2.0,16,University,3,2018,Mar-2018,2018-03,,ru
Stanford Introduction to Food and Health,Stanford University,https://www.coursera.org/learn/food-and-health,food-and-health,"Well-known information, little new ",By Elvira V,2019-09-23,2.0,5,University,9,2019,Sep-2019,2019-09,,ru
Stanford Introduction to Food and Health,Stanford University,https://www.coursera.org/learn/food-and-health,food-and-health,"Hi Russian-speaking researchers of healthy nutrition! This course attracted me to the institution and the hope of basic and modern knowledge. But it turned out, there is very little information (a video for 18 minutes a week) is a very superficial story. Tests are compiled in difficult English, the google translator will not help here if you do not speak the language perfectly - you have to seek help. It is better to read one book (for example, ""my charming intestine""). I hope my review will help doubters, but of course it is a personal opinion. Examine the whole course you can for one weekend. ",By Galina T,2017-12-18,3.0,82,University,12,2017,Dec-2017,2017-12,,ru
Stanford Introduction to Food and Health,Stanford University,https://www.coursera.org/learn/food-and-health,food-and-health,"For those who at least sometimes prepares and is a little interested in what he eats, the course will not be useful. ",By Vita V,2017-07-12,3.0,17,University,7,2017,Jul-2017,2017-07,,ru
Stanford Introduction to Food and Health,Stanford University,https://www.coursera.org/learn/food-and-health,food-and-health,"Little information, mostly only basic knowledge. I would like more in more detail. ",By Varenik I ,2020-04-15,3.0,10,University,4,2020,Apr-2020,2020-04,,ru
Stanford Introduction to Food and Health,Stanford University,https://www.coursera.org/learn/food-and-health,food-and-health,"Good day. This course was to pass interesting and informative. However, it can be noted for myself that it is difficult to adhere to these recommendations, because requires volitional effort. For most people, it does not work. Feeling hunger, it is ancient and most powerful reflex that will turn off your brain, whatever smart it is. At the same time, for myself, I found interesting information on firewood diet. It works for me. The feeling of hunger arises smoothly and not strong. You can do smaller portions and eat less often. ",By Nikolay A,2020-07-26,4.0,78,University,7,2020,Jul-2020,2020-07,,ru
Stanford Introduction to Food and Health,Stanford University,https://www.coursera.org/learn/food-and-health,food-and-health,Good suitable for start. Dietology are given. But for the work of this little. ,By Nanulya K,2018-07-04,4.0,12,University,7,2018,Jul-2018,2018-07,,ru
Stanford Introduction to Food and Health,Stanford University,https://www.coursera.org/learn/food-and-health,food-and-health,"Very interesting course on healthy nutrition, nutrition in the family, about choosing products in the store, about the right cooking. May is a very positive and caring mom for your family, and we are learning how to be healthy in this modern world of food. I liked the lesson how to read labels, labels on products and of course Maiana recipes are super. Thank you May and Kurrier for this course. Love you! ) ",By Olfirenko   N,2020-08-06,5.0,64,University,8,2020,Aug-2020,2020-08,,ru
Stanford Introduction to Food and Health,Stanford University,https://www.coursera.org/learn/food-and-health,food-and-health,"After listening to this course, I became clearer how best to approach nutrition issues. I liked the idea that if broccoli is in the package, it has already been processed, before this did not betray much. The thought of reasonable consumption is not the most featured with the first video, and the material consistently leads to it. Thanks for educational activities! ",By Bochkareva O,2020-02-25,5.0,50,University,2,2020,Feb-2020,2020-02,,ru
Stanford Introduction to Food and Health,Stanford University,https://www.coursera.org/learn/food-and-health,food-and-health,"Beautiful, very useful and cognitive course. It is simply saturated with information filed in easy to familiarize themselves. Separate words of gratitude to his Mae Adam. Smart, beautiful, modern woman, successive and make a career, and be a wonderful mother, like no one is suitable for doing this course. Thanks! ",By Larisa C,2017-08-28,5.0,43,University,8,2017,Aug-2017,2017-08,,ru
Stanford Introduction to Food and Health,Stanford University,https://www.coursera.org/learn/food-and-health,food-and-health,Very interesting and informative course. Allows you to understand the basics of healthy nutrition. Also very useful recipes at the end of the course. Pleasant teachers who explain and tell everything is understandable. ,By Ордина А А,2017-08-20,5.0,26,University,8,2017,Aug-2017,2017-08,,ru
Stanford Introduction to Food and Health,Stanford University,https://www.coursera.org/learn/food-and-health,food-and-health,I really liked it! Simple techniques that play a huge role in changing human nutrition in order to become healthier are available. ,By Буланина В Б,2018-12-28,5.0,23,University,12,2018,Dec-2018,2018-12,,ru
Stanford Introduction to Food and Health,Stanford University,https://www.coursera.org/learn/food-and-health,food-and-health,"Excellent course. I really liked the granted recipes. Availability in understanding the material, especially for me, not perfectly owning English. ",By Галашева О С,2019-11-19,5.0,18,University,11,2019,Nov-2019,2019-11,,ru
Stanford Introduction to Food and Health,Stanford University,https://www.coursera.org/learn/food-and-health,food-and-health,An excellent course is useful for any audience. Much attention is paid to balanced nutrition. Classes are well structured. Liked Maya recipes :) ,By Veretyuk V V,2020-01-04,5.0,19,University,1,2020,Jan-2020,2020-01,,ru
Stanford Introduction to Food and Health,Stanford University,https://www.coursera.org/learn/food-and-health,food-and-health,"The main ideas of the course are simple, but necessary for conscious execution: from the size of the dish to saturation. Path in the store and cooking food with your own hands. ",By Тимофей С ,2019-10-24,5.0,23,University,10,2019,Oct-2019,2019-10,,ru
