name,institution,course_url,course_id,reviews,reviewers,date_reviews,rating,count of words,University,month,year,mth-year,year-month,language
Nutrición y obesidad: control de sobrepeso,Universidad Nacional Autónoma de México,https://www.coursera.org/learn/nutricion-obesidad-sobrepeso,nutricion-obesidad-sobrepeso,"It was fascinating the trip through course of nutrition and obesity. I obtained In Tools and I achieve my goal, Thanks Toyales ",By CCANAHUIRE C r,2020-06-18,5.0,18,Business est,6,2020,Jun-2020,2020-06,en
Nutrición y obesidad: control de sobrepeso,Universidad Nacional Autónoma de México,https://www.coursera.org/learn/nutricion-obesidad-sobrepeso,nutricion-obesidad-sobrepeso,"I really recommend it, it is a course where you learn a lot, thank God I had the opportunity to complete it. ",By María d l A S v,2020-06-18,5.0,20,Business est,6,2020,Jun-2020,2020-06,en
Nutrición y obesidad: control de sobrepeso,Universidad Nacional Autónoma de México,https://www.coursera.org/learn/nutricion-obesidad-sobrepeso,nutricion-obesidad-sobrepeso,"It is an excellent course, where the information they provide is clear and you can understand it very quickly. ",By JOSUE E R G,2020-05-21,5.0,20,Business est,5,2020,May-2020,2020-05,en
Nutrición y obesidad: control de sobrepeso,Universidad Nacional Autónoma de México,https://www.coursera.org/learn/nutricion-obesidad-sobrepeso,nutricion-obesidad-sobrepeso,"I have completely loved this course, I take a lot of knowledge and I am ready to apply it in my person. ",By Michael T,2020-07-14,5.0,19,Business est,7,2020,Jul-2020,2020-07,en
Nutrición y obesidad: control de sobrepeso,Universidad Nacional Autónoma de México,https://www.coursera.org/learn/nutricion-obesidad-sobrepeso,nutricion-obesidad-sobrepeso,"Excellent course, clear, explicit and with a great contribution of practical knowledge, with concise clear examples. ",By Laura O,2020-04-14,5.0,18,Business est,4,2020,Apr-2020,2020-04,en
Nutrición y obesidad: control de sobrepeso,Universidad Nacional Autónoma de México,https://www.coursera.org/learn/nutricion-obesidad-sobrepeso,nutricion-obesidad-sobrepeso,"A very clear course and with the information accurate and necessary, for the creation of a balanced nutrition plan ",By Javier A P,2020-07-14,5.0,21,Business est,7,2020,Jul-2020,2020-07,en
Nutrición y obesidad: control de sobrepeso,Universidad Nacional Autónoma de México,https://www.coursera.org/learn/nutricion-obesidad-sobrepeso,nutricion-obesidad-sobrepeso,"It is an excellent opportunity to learn more and also is super accessible, I liked it a lot and take other courses. ",By CHRISTIANE P O R,2020-01-03,5.0,20,Business est,1,2020,Jan-2020,2020-01,en
Nutrición y obesidad: control de sobrepeso,Universidad Nacional Autónoma de México,https://www.coursera.org/learn/nutricion-obesidad-sobrepeso,nutricion-obesidad-sobrepeso,Excellent course to optimize knowledge about healthy habits and healthy lifestyles. ,By Cristian M C A,2020-06-15,5.0,17,Business est,6,2020,Jun-2020,2020-06,en
Nutrición y obesidad: control de sobrepeso,Universidad Nacional Autónoma de México,https://www.coursera.org/learn/nutricion-obesidad-sobrepeso,nutricion-obesidad-sobrepeso,This course helped me better understand how to consume food and thus be able to use it in my daily life. ,By Karla O,2020-05-09,5.0,21,Business est,5,2020,May-2020,2020-05,en
Nutrición y obesidad: control de sobrepeso,Universidad Nacional Autónoma de México,https://www.coursera.org/learn/nutricion-obesidad-sobrepeso,nutricion-obesidad-sobrepeso,"Excellent, has very complete information, helps you understand and complete the course in an accessible way ",By Balam C J A,2019-10-15,5.0,19,Business est,10,2019,Oct-2019,2019-10,en
Nutrición y obesidad: control de sobrepeso,Universidad Nacional Autónoma de México,https://www.coursera.org/learn/nutricion-obesidad-sobrepeso,nutricion-obesidad-sobrepeso,"The course is simple and quite understandable, you learn to make dietary plans to assess patients. ",By SIGRIT K C J,2020-05-07,5.0,18,Business est,5,2020,May-2020,2020-05,en
Nutrición y obesidad: control de sobrepeso,Universidad Nacional Autónoma de México,https://www.coursera.org/learn/nutricion-obesidad-sobrepeso,nutricion-obesidad-sobrepeso,I really liked the truth you finish the course and you can really make a nutritional plan for you or someone else. ,By Mariana G H,2019-12-13,5.0,21,Business est,12,2019,Dec-2019,2019-12,en
