MS Zoning,TotRms AbvGrd,House Style,Roof Matl,Mas Vnr Type,Exter Qual,Exter Cond,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,Overall Qual,Overall Cond,Bedroom AbvGr,Fireplace Qu,Garage Type,Fireplaces,Garage Cars,Sale Type,Gr Liv Area,Total Bsmt SF,Garage Area,1st Flr SF,Year Remod/Add,Year Built,Mas Vnr Area,BsmtFin SF 1,age of house,SalePrice
RL,6,2Story,CompShg,BrkFace,4,3,3,3,1,6,6,8,3,0,Attchd,0,2.0,WD ,1479,725.0,475.0,725,2005,1976,289.0,533.0,45,130500
RL,8,2Story,CompShg,BrkFace,4,3,4,3,1,6,7,5,4,3,Attchd,1,2.0,WD ,2122,913.0,559.0,913,1997,1996,132.0,637.0,25,220000
RL,5,1Story,CompShg,None,3,4,3,3,1,6,5,7,3,0,Detchd,0,1.0,WD ,1057,1057.0,246.0,1057,2007,1953,0.0,731.0,68,109000
RL,7,2Story,CompShg,None,3,3,4,3,1,1,5,5,3,0,BuiltIn,0,2.0,WD ,1444,384.0,400.0,744,2007,2006,0.0,0.0,15,174000
RL,6,1.5Fin,CompShg,None,3,3,2,4,1,1,6,8,3,0,Detchd,0,2.0,WD ,1445,676.0,484.0,831,1993,1900,0.0,0.0,121,138500
RL,6,1Story,CompShg,None,4,3,3,3,1,5,6,6,2,4,Attchd,1,2.0,WD ,1888,1517.0,578.0,1888,2002,1966,0.0,247.0,55,190000
RM,5,SFoyer,CompShg,BrkFace,3,3,4,3,4,6,6,5,2,0,Basment,0,2.0,New,1072,547.0,525.0,1072,2006,2005,82.0,547.0,16,140000
RL,6,1Story,CompShg,BrkFace,3,3,3,3,1,3,5,5,3,0,Attchd,0,2.0,COD,1188,1188.0,531.0,1188,1959,1959,180.0,1000.0,62,142000
RL,6,1Story,CompShg,None,3,3,3,3,1,3,5,5,2,0,Detchd,0,1.0,WD ,924,924.0,420.0,924,1952,1952,0.0,292.0,69,112500
RL,9,2Story,CompShg,BrkFace,3,3,4,3,3,3,5,5,5,3,Attchd,2,2.0,WD ,2080,1040.0,504.0,1040,1969,1969,192.0,650.0,52,135000
RM,4,2Story,CompShg,BrkFace,3,3,3,3,1,5,6,5,2,0,Detchd,0,1.0,COD,987,483.0,264.0,483,1971,1971,232.0,387.0,50,85400
RL,6,1Story,CompShg,None,4,3,4,3,3,6,7,5,2,0,Attchd,0,2.0,WD ,1208,1208.0,632.0,1208,2005,2005,0.0,393.0,16,183600
RL,7,2Story,CompShg,None,4,3,0,0,0,0,5,7,4,3,Attchd,1,2.0,WD ,2016,0.0,576.0,1288,2007,1880,0.0,0.0,141,131000
FV,7,2Story,CompShg,BrkFace,4,3,4,3,1,6,8,5,3,0,Detchd,0,2.0,ConLD,1607,960.0,480.0,962,2000,1999,456.0,813.0,22,200000
RL,6,1Story,CompShg,None,4,3,4,3,3,6,7,5,3,0,Attchd,0,2.0,WD ,1361,1351.0,610.0,1361,2007,2007,0.0,24.0,14,193000
RL,7,1Story,CompShg,None,3,3,5,3,3,1,5,5,3,0,Attchd,0,2.0,WD ,1430,1430.0,624.0,1430,2005,2004,0.0,0.0,17,173500
RM,7,2Story,CompShg,None,3,3,3,3,1,1,5,5,4,0,Detchd,0,3.0,COD,1344,624.0,513.0,624,1950,1916,0.0,0.0,105,98000
RL,5,1Story,CompShg,None,3,3,3,3,1,3,5,6,3,0,Detchd,0,2.0,WD ,1121,1121.0,480.0,1121,1963,1963,0.0,651.0,58,139000
RL,7,1Story,CompShg,BrkFace,3,3,3,3,1,1,6,5,3,3,Attchd,1,2.0,WD ,1285,660.0,528.0,1285,1977,1977,148.0,0.0,44,143500
FV,7,2Story,CompShg,None,3,3,4,3,2,6,7,5,3,0,Attchd,0,2.0,Con,1547,756.0,614.0,764,2009,2009,0.0,24.0,12,215200
RL,5,1Story,CompShg,None,3,3,4,3,1,4,5,5,3,1,Attchd,1,2.0,WD ,894,894.0,450.0,894,1968,1968,0.0,492.0,53,129000
RL,5,1Story,CompShg,None,4,3,4,3,1,6,8,5,2,5,Attchd,1,2.0,WD ,1659,1501.0,499.0,1659,2000,2000,0.0,1158.0,21,278000
RL,8,2Story,CompShg,None,4,3,5,3,3,1,8,5,3,4,Attchd,1,2.0,New,2253,1209.0,575.0,1209,2006,2005,0.0,0.0,16,344133
