Classification Algorithm and Transformer,GridSearchCV Accuracy Score,Accuracy Score on Train set,Accuracy Score on Test set,Sensitivity,Fall Out rate,ROC AUC Score
Logistic Regression and Countvectorizer,0.7975266190088378,0.9534522885958107,0.813953488372093,0.8095238095238095,0.18181818181818182,0.89
Logistic Regression and Tfidvectorizer,0.8215787409887492,0.9627618308766486,0.8302325581395349,0.8476190476190476,0.18636363636363637,0.91
K-Nearest Neighbors and Countvectorizer,0.6229511658070159,0.9984484096198604,0.6232558139534884,0.4857142857142857,0.24545454545454545,0.71
K-Nearest Neighbors and Tfidvectorizer,0.7641601061744036,0.9992242048099301,0.786046511627907,0.6666666666666666,0.1,0.87
Multinomial Naive Bayes and Countvectorizer,0.8463789099025728,0.9169899146625291,0.8046511627906977,0.7904761904761904,0.18181818181818182,0.89
Multinomial Naive Bayes and Tfidvectorizer,0.8440744427351973,0.9720713731574864,0.8255813953488372,0.8047619047619048,0.15454545454545454,0.91
Bagging Classifier and Countvectorizer,0.764971495792236,0.9945694336695112,0.7232558139534884,0.6952380952380952,0.25,0.81
Bagging Classifier and Tfidvectorizer,0.7618375410973366,0.9945694336695112,0.7581395348837209,0.7571428571428571,0.2409090909090909,0.83
Random Forest Classifier and Countvectorizer,0.794437909088167,0.8471683475562451,0.7906976744186046,0.8857142857142857,0.3,0.88
Random Forest Classifier and Tfidvectorizer,0.8068470424999246,0.8688906128782001,0.7953488372093023,0.8571428571428571,0.2636363636363636,0.88
Extra Trees Classifier and Countvectorizer,0.7812324676499864,0.8657874321179209,0.7674418604651163,0.7857142857142857,0.25,0.87
Extra Trees Classifier and Tfidvectorizer,0.7649533978825446,0.8533747090768037,0.7627906976744186,0.6142857142857143,0.09545454545454546,0.9
